time,receiverId,transmitterId,receiverPower,receiverDeviceModel,transmitterDeviceModel
5,2,6,-86.81796973949926,model013,model013
5,3,6,-84.96517581392212,model013,model013
5,4,27,-73.44249545056834,model013,model013
5,5,23,-70.00043938403681,model013,model013
5,6,2,-86.81796973949926,model013,model013
5,6,3,-84.96517581392212,model013,model013
5,9,12,-80.99868051854432,model013,model013
5,11,25,-70.16859261158342,model013,model013
5,12,9,-80.99868051854432,model013,model013
5,13,26,-82.69338694157422,model013,model013
5,14,16,-76.48951408059888,model013,model013
5,14,26,-86.4215676175214,model013,model013
5,14,29,-87.04306849369652,model013,model013
5,16,14,-76.48951408059888,model013,model013
5,16,26,-83.45755238200854,model013,model013
5,21,28,-80.23269245914585,model013,model013
5,23,5,-70.00043938403681,model013,model013
5,25,11,-70.16859261158342,model013,model013
5,26,13,-82.69338694157422,model013,model013
5,26,14,-86.4215676175214,model013,model013
5,26,16,-83.45755238200854,model013,model013
5,27,4,-73.44249545056834,model013,model013
5,28,21,-80.23269245914585,model013,model013
5,29,14,-87.04306849369652,model013,model013
10,2,6,-86.6744012612511,model013,model013
10,4,12,-86.69924403091706,model013,model013
10,4,27,-75.48759817212566,model013,model013
10,5,23,-82.55497801597943,model013,model013
10,6,2,-86.6744012612511,model013,model013
10,9,12,-86.21681651276255,model013,model013
10,10,30,-82.05470605059068,model013,model013
10,11,25,-81.5643839555722,model013,model013
10,12,4,-86.69924403091706,model013,model013
10,12,9,-86.21681651276255,model013,model013
10,13,16,-86.89488812292332,model013,model013
10,14,26,-87.0036839899659,model013,model013
10,14,29,-85.58178861540497,model013,model013
10,15,3,-71.38782701500355,model013,model013
10,16,13,-86.89488812292332,model013,model013
10,16,26,-78.6698238841542,model013,model013
10,21,28,-78.38688031451763,model013,model013
10,23,5,-82.55497801597943,model013,model013
10,25,11,-81.5643839555722,model013,model013
10,26,14,-87.0036839899659,model013,model013
10,26,16,-78.6698238841542,model013,model013
10,27,4,-75.48759817212566,model013,model013
10,28,21,-78.38688031451763,model013,model013
10,29,14,-85.58178861540497,model013,model013
10,30,10,-82.05470605059068,model013,model013
10,3,15,-71.38782701500355,model013,model013
15,2,6,-86.62681782163395,model013,model013
15,4,12,-85.36274385776746,model013,model013
15,4,27,-77.16048233871913,model013,model013
15,6,2,-86.62681782163395,model013,model013
15,10,30,-81.91984020932279,model013,model013
15,11,25,-86.50486111158327,model013,model013
15,12,4,-85.36274385776746,model013,model013
15,14,29,-84.52999891021679,model013,model013
15,15,3,-65.57103966774356,model013,model013
15,20,25,-84.52998480268046,model013,model013
15,21,28,-77.18592445029056,model013,model013
15,22,23,-82.68818943540253,model013,model013
15,23,22,-82.68818943540253,model013,model013
15,25,11,-86.50486111158327,model013,model013
15,25,20,-84.52998480268046,model013,model013
15,27,4,-77.16048233871913,model013,model013
15,28,21,-77.18592445029056,model013,model013
15,29,14,-84.52999891021679,model013,model013
15,30,10,-81.91984020932279,model013,model013
15,3,15,-65.57103966774356,model013,model013
