time,receiverId,transmitterId,receiverPower,receiverDeviceModel,transmitterDeviceModel
5,1,8,-85.36067131382214,model010,model014
5,1,20,-92.77967535956532,model010,model005
5,1,29,-76.88614014948575,model010,model018
5,3,5,-74.85562468140196,model014,model015
5,4,8,-77.95233399936734,model014,model014
5,4,20,-89.9199081512593,model014,model005
5,4,29,-79.29304979204518,model014,model018
5,5,3,-75.85562468140196,model015,model014
5,8,1,-89.36067131382214,model014,model010
5,8,4,-77.95233399936734,model014,model014
5,8,20,-79.30738605683102,model014,model005
5,8,29,-73.59397199194231,model014,model018
5,9,23,-86.40992519974583,model013,model012
5,10,16,-84.60336238272937,model009,model011
5,15,22,-85.89799945507227,model011,model013
5,16,10,-86.60336238272937,model011,model009
5,20,1,-87.77967535956532,model005,model010
5,20,4,-80.9199081512593,model005,model014
5,20,8,-70.30738605683102,model005,model014
5,20,29,-69.69917837395207,model005,model018
5,21,23,-80.20947480051072,model018,model012
5,21,25,-82.41885319070525,model018,model009
5,22,15,-87.89799945507227,model013,model011
5,23,9,-85.40992519974583,model012,model013
5,23,21,-74.20947480051072,model012,model018
5,23,25,-86.83573062296911,model012,model009
5,24,2,-78.87982465312174,model007,model011
5,25,21,-73.41885319070525,model009,model018
5,25,23,-83.83573062296911,model009,model012
5,28,1,-74.03287154308218,model011,model014
5,29,1,-84.88614014948575,model018,model010
5,29,4,-83.29304979204518,model018,model014
5,29,8,-77.59397199194231,model018,model014
5,29,20,-82.69917837395207,model018,model005
5,1,28,-77.03287154308218,model014,model011
5,2,24,-82.87982465312174,model011,model007
10,1,4,-86.44011741345344,model010,model014
10,1,8,-84.47543005618756,model010,model014
10,1,29,-82.0514605835028,model010,model018
10,2,18,-80.85202943215155,model016,model015
10,3,5,-85.06212336379731,model014,model015
10,3,22,-86.19871654375694,model014,model013
10,4,1,-90.44011741345344,model014,model010
10,4,8,-78.3464297931568,model014,model014
10,4,20,-86.311152474768,model014,model005
10,4,29,-71.72353113726247,model014,model018
10,5,3,-86.06212336379731,model015,model014
10,8,1,-88.47543005618756,model014,model010
10,8,4,-78.3464297931568,model014,model014
10,8,20,-92.68633796806964,model014,model005
10,8,29,-78.01109876409534,model014,model018
10,9,23,-85.49490070573363,model013,model012
10,10,16,-86.40833931621853,model009,model011
10,14,17,-85.86992077804686,model019,model014
10,16,10,-88.40833931621853,model011,model009
10,17,14,-80.86992077804686,model014,model019
10,17,3,-69.79765951671482,model014,model021
10,18,2,-79.85202943215155,model015,model016
10,20,4,-77.311152474768,model005,model014
10,20,8,-83.68633796806964,model005,model014
10,20,29,-74.91070236565574,model005,model018
10,21,25,-87.90742866292216,model018,model009
10,22,3,-85.19871654375694,model013,model014
10,23,9,-84.49490070573363,model012,model013
10,24,2,-85.49624626972872,model007,model011
10,25,21,-78.90742866292216,model009,model018
10,28,1,-79.321956707688,model011,model014
10,29,1,-90.0514605835028,model018,model010
10,29,4,-75.72353113726247,model018,model014
10,29,8,-82.01109876409534,model018,model014
10,29,20,-87.91070236565574,model018,model005
10,1,28,-82.321956707688,model014,model011
10,2,24,-89.49624626972872,model011,model007
10,3,17,-76.79765951671482,model021,model014
15,1,4,-86.30597120127058,model010,model014
15,1,8,-86.50747913541134,model010,model014
15,2,18,-80.11126810204061,model016,model015
15,3,22,-81.0285687547752,model014,model013
15,4,1,-90.30597120127058,model014,model010
15,4,8,-78.77641139951199,model014,model014
15,4,29,-82.16038493754336,model014,model018
15,8,1,-90.50747913541134,model014,model010
15,8,4,-78.77641139951199,model014,model014
15,9,23,-85.98230474689052,model013,model012
15,14,17,-84.50595489837781,model019,model014
15,17,14,-79.50595489837781,model014,model019
15,17,3,-69.5480837135765,model014,model021
15,18,2,-79.11126810204061,model015,model016
15,20,29,-78.16960025878411,model005,model018
15,20,5,-79.10043701333262,model005,model016
15,21,25,-91.25295852554946,model018,model009
15,22,3,-80.0285687547752,model013,model014
15,23,9,-84.98230474689052,model012,model013
15,25,21,-82.25295852554946,model009,model018
15,28,1,-82.59021849047012,model011,model014
15,29,4,-86.16038493754336,model018,model014
15,29,20,-91.16960025878411,model018,model005
15,29,5,-84.55178699990829,model018,model016
15,1,28,-85.59021849047012,model014,model011
15,3,17,-76.5480837135765,model021,model014
15,5,20,-90.10043701333262,model016,model005
15,5,29,-82.55178699990829,model016,model018
20,2,12,-85.33334247027501,model016,model011
20,3,22,-75.57610775360854,model014,model013
20,4,8,-79.22946863644964,model014,model014
20,8,4,-79.22946863644964,model014,model014
20,9,23,-87.51116333832287,model013,model012
20,12,2,-80.33334247027501,model011,model016
20,14,17,-83.56073308885246,model019,model014
20,14,3,-79.69416792614453,model019,model021
20,17,14,-78.56073308885246,model014,model019
20,17,3,-69.3738093299724,model014,model021
20,20,29,-80.5391790276194,model005,model018
20,20,5,-77.2379705753641,model005,model016
20,22,3,-74.57610775360854,model013,model014
20,23,9,-86.51116333832287,model012,model013
20,28,1,-84.96038285352722,model011,model014
20,29,20,-93.5391790276194,model018,model005
20,29,5,-83.37670571953488,model018,model016
20,1,28,-87.96038285352722,model014,model011
20,3,14,-81.69416792614453,model021,model019
20,3,17,-76.3738093299724,model021,model014
20,5,20,-88.2379705753641,model016,model005
20,5,29,-81.37670571953488,model016,model018
25,2,12,-78.52729052063992,model016,model011
25,3,22,-81.61073736177985,model014,model013
25,4,8,-79.69520492715455,model014,model014
25,8,4,-79.69520492715455,model014,model014
25,10,18,-82.82991720782559,model009,model015
25,12,2,-73.52729052063992,model011,model016
25,14,17,-83.43919056575781,model019,model014
25,14,3,-79.51707168995804,model019,model021
25,15,10,-69.85093734756474,model011,model022
25,17,14,-78.43919056575781,model014,model019
25,17,3,-69.28466851139198,model014,model021
25,18,10,-88.82991720782559,model015,model009
25,20,29,-82.40073850002105,model005,model018
25,20,5,-79.0862776954372,model005,model016
25,22,3,-80.61073736177985,model013,model014
25,23,26,-74.39031798447076,model012,model011
25,26,23,-73.39031798447076,model011,model012
25,29,20,-95.40073850002105,model018,model005
25,29,5,-82.02885133579831,model018,model016
25,3,14,-81.51707168995804,model021,model019
25,3,17,-76.28466851139198,model021,model014
25,5,20,-90.0862776954372,model016,model005
25,5,29,-80.02885133579831,model016,model018
25,10,15,-80.85093734756474,model022,model011
30,3,22,-86.56196881814046,model014,model013
30,4,8,-80.16557640432215,model014,model014
30,8,4,-80.16557640432215,model014,model014
30,10,18,-76.6500260363812,model009,model015
30,14,17,-84.20662870571178,model019,model014
30,14,3,-79.69040656489466,model019,model021
30,15,10,-67.98417528661975,model011,model022
30,17,14,-79.20662870571178,model014,model019
