time,receiverId,transmitterId,receiverPower,receiverDeviceModel,transmitterDeviceModel
5,1,15,-61.4891300059123,modelGainRx010,modelGainRx010
5,3,21,-76.62255888101578,modelGainRx010,modelGainRx010
5,6,9,-72.99176227140796,modelGainRx010,modelGainRx010
5,6,11,-77.27739272693024,modelGainRx010,modelGainRx010
5,6,2,-78.41685242314456,modelGainRx010,modelGainRx010
5,7,18,-78.78050906110332,modelGainRx010,modelGainRx010
5,8,12,-74.8366448620957,modelGainRx010,modelGainRx010
5,8,23,-76.4869780998161,modelGainRx010,modelGainRx010
5,9,6,-66.99176227140796,modelGainRx010,modelGainRx010
5,9,2,-76.53260624343231,modelGainRx010,modelGainRx010
5,11,6,-81.27739272693024,modelGainRx010,modelGainRx010
5,12,8,-74.8366448620957,modelGainRx010,modelGainRx010
5,13,22,-67.16614274589764,modelGainRx010,modelGainRx010
5,14,20,-68.48112784858102,modelGainRx010,modelGainRx010
5,14,24,-77.99366014791612,modelGainRx010,modelGainRx010
5,15,1,-59.4891300059123,modelGainRx010,modelGainRx010
5,16,23,-78.083152144854,modelGainRx010,modelGainRx010
5,17,29,-74.45911838250133,modelGainRx010,modelGainRx010
5,18,7,-76.78050906110332,modelGainRx010,modelGainRx010
5,20,14,-78.48112784858102,modelGainRx010,modelGainRx010
5,20,24,-68.83981812732581,modelGainRx010,modelGainRx010
5,21,3,-72.62255888101578,modelGainRx010,modelGainRx010
5,21,28,-80.07741338455816,modelGainRx010,modelGainRx010
5,22,13,-67.16614274589764,modelGainRx010,modelGainRx010
5,23,8,-73.4869780998161,modelGainRx010,modelGainRx010
5,23,16,-76.083152144854,modelGainRx010,modelGainRx010
5,24,14,-81.99366014791612,modelGainRx010,modelGainRx010
5,24,20,-62.83981812732581,modelGainRx010,modelGainRx010
5,26,30,-74.27238596546259,modelGainRx010,modelGainRx010
5,27,2,-79.85300426191682,modelGainRx010,modelGainRx010
5,28,21,-77.07741338455816,modelGainRx010,modelGainRx010
5,29,17,-75.45911838250133,modelGainRx010,modelGainRx010
5,30,26,-72.27238596546259,modelGainRx010,modelGainRx010
5,2,6,-79.41685242314456,modelGainRx010,modelGainRx010
5,2,9,-83.53260624343231,modelGainRx010,modelGainRx010
5,2,27,-80.85300426191682,modelGainRx010,modelGainRx010
10,1,15,-71.72296560044884,modelGainRx010,modelGainRx010
10,3,21,-72.85396070319493,modelGainRx010,modelGainRx010
10,6,9,-72.70727106227017,modelGainRx010,modelGainRx010
10,6,11,-71.79995948005025,modelGainRx010,modelGainRx010
10,8,23,-77.6986935025408,modelGainRx010,modelGainRx010
10,9,6,-66.70727106227017,modelGainRx010,modelGainRx010
10,9,11,-70.68300165627737,modelGainRx010,modelGainRx010
10,11,6,-75.79995948005025,modelGainRx010,modelGainRx010
10,11,9,-80.68300165627737,modelGainRx010,modelGainRx010
10,14,20,-67.05905339613504,modelGainRx010,modelGainRx010
10,14,24,-77.78477701330337,modelGainRx010,modelGainRx010
10,15,1,-69.72296560044884,modelGainRx010,modelGainRx010
10,17,29,-73.71169485189512,modelGainRx010,modelGainRx010
10,20,14,-77.05905339613504,modelGainRx010,modelGainRx010
10,20,24,-75.70604037195827,modelGainRx010,modelGainRx010
10,21,3,-68.85396070319493,modelGainRx010,modelGainRx010
10,23,8,-74.6986935025408,modelGainRx010,modelGainRx010
10,24,14,-81.78477701330337,modelGainRx010,modelGainRx010
10,24,20,-69.70604037195827,modelGainRx010,modelGainRx010
10,26,30,-79.2679577094093,modelGainRx010,modelGainRx010
10,27,2,-79.66211207198002,modelGainRx010,modelGainRx010
10,29,17,-74.71169485189512,modelGainRx010,modelGainRx010
10,30,26,-77.2679577094093,modelGainRx010,modelGainRx010
10,1,4,-80.10302444767868,modelGainRx010,modelGainRx010
10,2,27,-80.66211207198002,modelGainRx010,modelGainRx010
10,4,1,-79.10302444767868,modelGainRx010,modelGainRx010
15,1,15,-76.29192310099626,modelGainRx010,modelGainRx010
15,3,21,-73.20931583267556,modelGainRx010,modelGainRx010
15,6,9,-73.60747994856372,modelGainRx010,modelGainRx010
15,8,23,-78.79522751972341,modelGainRx010,modelGainRx010
15,9,6,-67.60747994856372,modelGainRx010,modelGainRx010
15,9,11,-76.97515083953793,modelGainRx010,modelGainRx010
15,10,5,-77.53747993694697,modelGainRx010,modelGainRx010
15,11,9,-86.97515083953793,modelGainRx010,modelGainRx010
15,11,27,-77.45273301367209,modelGainRx010,modelGainRx010
15,15,1,-74.29192310099626,modelGainRx010,modelGainRx010
15,17,29,-74.40505519534717,modelGainRx010,modelGainRx010
15,17,5,-77.76116758741732,modelGainRx010,modelGainRx010
15,21,3,-69.20931583267556,modelGainRx010,modelGainRx010
15,23,8,-75.79522751972341,modelGainRx010,modelGainRx010
15,27,11,-73.45273301367209,modelGainRx010,modelGainRx010
15,29,17,-75.40505519534717,modelGainRx010,modelGainRx010
15,29,5,-78.39482082840715,modelGainRx010,modelGainRx010
15,1,4,-80.90436074784418,modelGainRx010,modelGainRx010
15,4,1,-79.90436074784418,modelGainRx010,modelGainRx010
15,5,10,-74.53747993694697,modelGainRx010,modelGainRx010
15,5,17,-76.76116758741732,modelGainRx010,modelGainRx010
15,5,29,-76.39482082840715,modelGainRx010,modelGainRx010
20,3,21,-77.06562767392391,modelGainRx010,modelGainRx010
20,6,9,-75.15914804430271,modelGainRx010,modelGainRx010
20,8,23,-79.78901427200549,modelGainRx010,modelGainRx010
20,9,6,-69.15914804430271,modelGainRx010,modelGainRx010
20,11,27,-72.2229251918601,modelGainRx010,modelGainRx010
20,15,16,-75.10509188891517,modelGainRx010,modelGainRx010
20,16,15,-75.10509188891517,modelGainRx010,modelGainRx010
